component_id,component_schedulable,task_summary
Camera_Sensor,False,"[{'task_name': 'Task_0', 'task_schedulable': np.True_, 'avg_response_time': np.float64(91.70967741935522), 'max_response_time': np.float64(91.70967741935522)}, {'task_name': 'Task_1', 'task_schedulable': np.True_, 'avg_response_time': np.float64(127.87096774193594), 'max_response_time': np.float64(127.87096774193594)}, {'task_name': 'Task_2', 'task_schedulable': np.False_, 'avg_response_time': np.float64(30.548387096774547), 'max_response_time': np.float64(50.93548387096814)}, {'task_name': 'Task_3', 'task_schedulable': np.True_, 'avg_response_time': np.float64(106.20967741935499), 'max_response_time': np.float64(107.70967741935478)}]"
Image_Processor,False,"[{'task_name': 'Task_4', 'task_schedulable': np.True_, 'avg_response_time': np.float64(85.79838709677452), 'max_response_time': np.float64(177.38709677419388)}, {'task_name': 'Task_5', 'task_schedulable': np.True_, 'avg_response_time': np.float64(131.677419354839), 'max_response_time': np.float64(193.19153225806485)}, {'task_name': 'Task_6', 'task_schedulable': False, 'avg_response_time': 0, 'max_response_time': 0}, {'task_name': 'Task_7', 'task_schedulable': np.True_, 'avg_response_time': np.float64(292.12903225806485), 'max_response_time': np.float64(292.12903225806485)}, {'task_name': 'Task_8', 'task_schedulable': np.True_, 'avg_response_time': np.float64(63.952620967742234), 'max_response_time': np.float64(109.03024193548413)}]"
